INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
08-08-2013,07-08-2014,8,1202,519755.22,7209.14,5000029885,2007,6,Pick-up,3153,NISSAN,Own Goods,
08-08-2012,07-08-2013,8,1202,519755.22,7203.89,5000029885,2007,6,Pick-up,3153,NISSAN,Own Goods,
08-08-2011,07-08-2012,8,1202,519755.22,7045.804,5000029885,2007,6,Pick-up,3153,NISSAN,Own Goods,
08-07-2011,07-08-2011,8,1202,519755.22,287.25,5000029885,2007,6,Pick-up,3153,NISSAN,Own Goods,
08-08-2013,07-08-2014,8,1202,285451.24,4286.9,5000029901,2010,7,Pick-up,2494,TOYOTA,Own Goods,19894.43
08-08-2012,07-08-2013,8,1202,285451.24,4286.65,5000029901,2010,7,Pick-up,2494,TOYOTA,Own Goods,26916.44
08-08-2011,07-08-2012,8,1202,285451.24,4123.564,5000029901,2010,7,Pick-up,2494,TOYOTA,Own Goods,
08-07-2011,07-08-2011,8,1202,285451.24,155.01,5000029901,2010,7,Pick-up,2494,TOYOTA,Own Goods,
08-07-2012,07-07-2013,11,1201,200000,3452.65,5000030346,1982,,Station Wagones,4164,TOYOTA,Private,
08-08-2011,07-07-2012,11,1201,200000,3077.54,5000030346,1982,,Station Wagones,4164,TOYOTA,Private,
08-07-2011,07-08-2011,1,1201,200000,111.22,5000030346,1982,,Station Wagones,4164,TOYOTA,Private,
24-11-2013,23-11-2014,12,1202,3400000,44618.41,5000030358,2012,220,Truck,12880,IVECO,General Cartage,
28-11-2012,27-11-2013,12,1202,0,3427.75,5000030358,2012,220,Truck,12880,IVECO,General Cartage,
24-11-2012,23-11-2013,12,1202,3200000,53018.73,5000030358,2012,220,Truck,12880,IVECO,General Cartage,
21-09-2013,20-09-2014,13,1202,0,2403.82,5000030363,1998,11,Bus,2985,TOYOTA,Fare Paying Passengers,
01-12-2011,30-11-2012,11,1202,0,2512.27,5000030375,1990,0,Bus,2279,TOYOTA,Taxi,
10-09-2011,09-09-2012,7,1201,152038,3747.89,5000030533,2004,,Automobile,1995,TOYOTA,Private,
04-12-2011,03-12-2012,61,1201,400000,6258.45,5000030538,2005,,Automobile,1794,TOYOTA,Private,
12-12-2013,11-12-2014,6,1202,1636927.58,20193.64,5000031227,2008,153,Truck,11945,MITSUBISHI,General Cartage,
12-12-2012,11-12-2013,6,1202,1636927.58,21551.76,5000031227,2008,153,Truck,11945,MITSUBISHI,General Cartage,
12-12-2011,11-12-2012,6,1202,1636927.58,12364.956,5000031227,2008,153,Truck,11945,MITSUBISHI,General Cartage,
09-01-2014,08-01-2015,14,1202,300000,11755.08,5000031259,1999,0,Bus,2985,TOYOTA,Fare Paying Passengers,
03-08-2012,02-08-2013,12,1202,350000,14650.95,5000031259,1999,0,Bus,2985,TOYOTA,Fare Paying Passengers,
03-08-2011,02-08-2012,74,1202,350000,10364.6,5000031259,1999,0,Bus,2985,TOYOTA,Fare Paying Passengers,
20-10-2012,19-10-2013,12,1202,0,1803.65,5000031260,1995,0,Bus,2779,TOYOTA,Taxi,
18-12-2012,17-12-2013,11,1202,2363510,29682.18,5000031270,2010,18000,Tanker,12880,IVECO,General Cartage,
19-11-2011,18-11-2012,11,1202,2363510,30371.49,5000031270,2010,18000,Tanker,12880,IVECO,General Cartage,105388.2
09-08-2012,08-08-2013,12,1202,350000,12469.51,5000031274,2000,12,Bus,2985,TOYOTA,Fare Paying Passengers,
09-08-2011,08-08-2012,10,1202,247250,10580.135,5000031274,2000,12,Bus,2985,TOYOTA,Fare Paying Passengers,
31-10-2013,30-10-2014,10,1202,1184500,21482.02,5000031283,1999,164.3,Truck,13798,IVECO,General Cartage,
28-10-2012,27-10-2013,10,1202,1184500,22703.4,5000031283,1999,164.3,Truck,13798,IVECO,General Cartage,
28-10-2011,27-10-2012,10,1202,1184500,25401.527,5000031283,1999,164.3,Truck,13798,IVECO,General Cartage,
13-07-2012,12-07-2013,10,1202,543355.9,5580.55,5000031294,2010,,Trailers and semitrailers,0,MESFIN,General Cartage,
13-07-2011,12-07-2012,10,1202,543355.9,5897.36,5000031294,2010,,Trailers and semitrailers,0,MESFIN,General Cartage,
13-07-2012,12-07-2013,10,1202,2592457.65,20620.39,5000031298,2010,158,Truck,12880,IVECO,General Cartage,
13-07-2011,12-07-2012,10,1202,2592457.65,19928.235,5000031298,2010,158,Truck,12880,IVECO,General Cartage,
20-03-2013,19-03-2014,9,1202,605000,19795.18,5000031299,1995,220,Truck,13798,FIAT,General Cartage,
13-07-2012,12-07-2013,10,1202,543355.9,8545.09,5000031299,1995,220,Truck,13798,FIAT,General Cartage,
16-03-2012,15-03-2013,9,1202,605000,24469.21,5000031299,1995,220,Truck,13798,FIAT,General Cartage,
13-07-2011,12-07-2012,10,1202,543355.9,8164.378,5000031299,1995,220,Truck,13798,FIAT,General Cartage,
13-07-2012,12-07-2013,10,1202,2592457.65,29687.41,5000031300,2010,158,Truck,1288,IVECO,General Cartage,
13-07-2011,12-07-2012,10,1202,2592457.65,28734.955,5000031300,2010,158,Truck,1288,IVECO,General Cartage,
30-10-2013,29-10-2014,12,1202,0,3745.65,5000031441,1985,36.7,Truck,6560,FIAT,General Cartage,
30-10-2012,29-10-2013,12,1202,0,2549.45,5000031441,1985,36.7,Truck,6560,FIAT,General Cartage,
27-11-2013,26-11-2014,10,1202,2550000,34730.13,5000031488,2010,155.1,Truck,0,IVECO,General Cartage,
27-11-2012,26-11-2013,10,1202,2550000,26870.64,5000031488,2010,155.1,Truck,0,IVECO,General Cartage,
27-11-2011,26-11-2012,10,1202,2550000,39008.4,5000031488,2010,155.1,Truck,0,IVECO,General Cartage,
27-11-2013,26-11-2014,10,1202,2550000,34725.13,5000031489,2010,155.1,Truck,0,IVECO,General Cartage,
27-11-2012,26-11-2013,10,1202,2550000,36036.18,5000031489,2010,155.1,Truck,0,IVECO,General Cartage,
27-11-2011,26-11-2012,10,1202,2550000,39003.4,5000031489,2010,155.1,Truck,0,IVECO,General Cartage,
27-11-2013,26-11-2014,10,1202,650000,8652.88,5000031490,2010,80,Truck,11548,FIAT,General Cartage,
27-11-2012,26-11-2013,10,1202,650000,6632.37,5000031490,2010,80,Truck,11548,FIAT,General Cartage,
27-11-2011,26-11-2012,10,1202,650000,9750.87,5000031490,2010,80,Truck,11548,FIAT,General Cartage,
27-11-2013,26-11-2014,10,1202,650000,8673.38,5000031491,2010,228.2,Trailers and semitrailers,0,MARU,General Cartage,
